Strategy,Length Ratio,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU-Avg,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,BERTScore F1
Base Prompt,0.7539552937848506,0.36831393988542976,0.1884170807236413,0.10595908961095288,0.06117982392901324,0.18096748353725928,0.3102376308994788,0.0804971004914931,0.282367176239078,0.126317275891779
Emotion-Tailored,0.7367981123074163,0.36904100804290885,0.1764779368886244,0.09003261396632353,0.04800502135934892,0.17088914506430145,0.30372980360062435,0.0711260038103386,0.2742690125323405,0.13624241696670653
Severity-Tailored,0.7116986248330471,0.3521818485224403,0.1694244677614199,0.08737714238296625,0.046613695985175826,0.16389928866300058,0.3011705495237226,0.07114669332389158,0.2700171212013468,0.12098073433153331
Fully Tailored,0.6753672640016216,0.3385960882495083,0.16441135209607793,0.08695249028980605,0.04641942173655742,0.15909483809298744,0.30029650184528034,0.07153641199311174,0.2715075191992657,0.13427856131456792
Few-Shot Learning,0.7341281891273488,0.35265481112933816,0.1659934962975605,0.08564645578618857,0.04546040316906362,0.1624387915955377,0.29291790922381,0.06707317300724469,0.2611842652789882,0.103848379914416
